correctionsNb,cancelled,onBehalf,jointProcurement,fraAgreement,accelerated,outOfDirectives,subContracted,gpa,multipleCae,typeOfContract,topType,renewal,contractDuration,publicityDuration,tenderNumber,AgentNumber,Score
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,2.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,5.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,2.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,4.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,3.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,6.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,5.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,4.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,4.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,4.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,58.0,4.0,14,0
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,12.0,45.0,4.0,14,0
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,12.0,45.0,4.0,14,0
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,12.0,45.0,4.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,6.0,44.0,11.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,6.0,44.0,6.0,14,0
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,12.01,49.0,4.0,14,0
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,12.01,49.0,4.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,2.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,3.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,5.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,3.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,2.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,5.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,6.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,4.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,4.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,6.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,10.0,14,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,45.0,7.0,14,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,12.0,55.0,,14,0
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,,50.0,3.0,15,0
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,3.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,2.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,4.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,7.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,5.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,2.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,10.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,4.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,12.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,3.0,16,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,2.0,16,1
0.0,0.0,N,,N,,0.0,,,,W,OPE,,16.0,42.0,5.0,16,1
0.0,0.0,N,,N,,0.0,,,,W,OPE,,16.0,42.0,4.0,16,1
0.0,0.0,N,,N,,0.0,,,,W,OPE,,16.0,42.0,8.0,16,1
0.0,0.0,N,,N,,0.0,,,,W,OPE,,16.0,42.0,3.0,16,1
0.0,0.0,N,,N,,0.0,,,,W,OPE,,16.0,42.0,6.0,16,1
